Country,Artist,Album,Genre,Release Year,Monthly Listeners (Millions),Total Streams (Millions),Total Hours Streamed (Millions),Avg Stream Duration (Min),Platform Type,Streams Last 30 Days (Millions),Skip Rate (%),reach_cohort,Momentum_Category,Hours per Stream,Engagement_Category
Germany,Taylor Swift,1989 (Taylor's Version),K-pop,2020,23.1,3695.53,14240.35,4.28,Free,118.51,2.24,Mid-Tier (10–50M),Stable Superstar,3.853398565293747,Loyal Hits
Brazil,The Weeknd,After Hours,R&B,2023,60.6,2828.16,11120.44,3.9,Premium,44.87,23.98,Superstar (50M+),Legacy Decliner,3.932040620049785,Polarizing Tracks
United States,Post Malone,Austin,Reggaeton,2019,42.84,1425.46,4177.49,4.03,Free,19.46,4.77,Mid-Tier (10–50M),Background Catalog,2.9306259032172073,Loyal Hits
Italy,Ed Sheeran,Autumn Variations,K-pop,2019,73.24,2704.33,12024.08,3.26,Premium,166.05,25.12,Superstar (50M+),Stable Superstar,4.446232523397662,Weak Engagement
Italy,Ed Sheeran,Autumn Variations,R&B,2019,7.89,3323.25,13446.32,4.47,Free,173.43,15.82,Emerging (<10M),Stable Superstar,4.046135560069209,Loyal Hits
Sweden,Billie Eilish,Happier Than Ever,Indie,2019,37.65,1087.06,3298.09,4.37,Free,122.22,7.67,Mid-Tier (10–50M),High-Momentum Growth,3.033953967582286,Loyal Hits
France,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Rock,2019,27.72,4630.69,17950.05,2.94,Premium,168.73,31.26,Mid-Tier (10–50M),Stable Superstar,3.876322966987641,Weak Engagement
France,Doja Cat,Scarlet,Pop,2022,40.72,377.63,1633.73,3.63,Premium,43.31,20.47,Mid-Tier (10–50M),Background Catalog,4.32627174747769,Loyal Hits
Sweden,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,K-pop,2019,25.42,2828.77,8558.4,3.67,Premium,73.04,39.9,Mid-Tier (10–50M),Legacy Decliner,3.025484574567745,Polarizing Tracks
United Kingdom,Ariana Grande,Eternal Sunshine,Rock,2020,75.82,4312.46,12099.39,2.82,Premium,119.69,16.01,Superstar (50M+),Stable Superstar,2.805681675888008,Casual Listening
Argentina,Dua Lipa,Future Nostalgia,Jazz,2023,97.14,4310.86,10876.14,3.94,Premium,153.95,14.27,Superstar (50M+),Stable Superstar,2.5229629354699528,Loyal Hits
South Korea,BLACKPINK,BORN PINK,Reggaeton,2021,1.32,3624.36,14277.66,4.44,Free,102.03,5.15,Emerging (<10M),Stable Superstar,3.9393603284441943,Loyal Hits
South Korea,Doja Cat,Scarlet,Jazz,2022,20.69,1900.87,5366.34,4.41,Free,120.19,20.06,Mid-Tier (10–50M),High-Momentum Growth,2.8230967925213193,Loyal Hits
Germany,SZA,SOS,Indie,2022,24.71,1242.31,4515.44,2.66,Premium,163.39,39.14,Mid-Tier (10–50M),High-Momentum Growth,3.6347127528555676,Weak Engagement
